City,Price,Date,Beach
Paris,103.31,2025-12-28,False
Amsterdam,66.83,2025-12-26,False
Rome,61.56,2025-12-30,True
Madrid,69.86,2025-12-27,False
Lisbon,67.15,2025-12-26,True
Athens,89.16,2025-12-28,True
Barcelona,76.86,2025-12-28,True
Berlin,62.42,2025-12-26,False
Milan,27.72,2025-12-29,False
Vienna,37.74,2025-12-29,False
Brussels,81.84,2025-12-28,False
Prague,38.86,2025-12-29,False
Budapest,37.72,2025-12-28,False
Zurich,91.94,2025-12-29,False
Cairo,133.78,2025-12-30,False
Casablanca,131.12,2025-12-30,True
Marrakech,50.82,2025-12-30,False
Tunis,109.98,2025-12-30,True
Algiers,88.89,2025-12-29,True
Tangier,103.72,2025-12-30,True
Beirut,103.81,2025-12-29,True
Amman,114.6,2025-12-30,True
Istanbul,64.17,2025-12-30,True
Doha,252.06,2025-12-28,True
Manama,202.57,2025-12-29,True
Nice,82.25,2025-12-29,True
Santorini,166.72,2025-12-29,True
Albufeira,77.29,2025-12-29,True
Catania,76.1,2025-12-30,True
Malaga,66.29,2025-12-29,True
Dubrovnik,82.2,2025-12-29,True
Naples,76.2,2025-12-29,True
Toulon,248.71,2025-12-27,True
Sharm El Sheikh,104.17,2025-12-30,True
Hurghada,98.87,2025-12-30,True
Djerba,50.97,2025-12-30,True
Essaouira,54.53,2025-12-30,True
Agadir,67.22,2025-12-30,True
