City,Price,Date,Beach
Amsterdam,73.12,2025-07-13,False
Rome,91.32,2025-07-16,True
Madrid,103.65,2025-07-15,False
Lisbon,185.51,2025-07-15,True
Barcelona,56.2,2025-07-14,True
Berlin,69.15,2025-07-14,False
Milan,101.76,2025-07-16,False
Vienna,116.8,2025-07-13,False
Brussels,125.65,2025-07-14,False
Prague,120.61,2025-07-14,False
Budapest,125.26,2025-07-16,False
Zurich,101.71,2025-07-13,False
Cairo,202.71,2025-07-13,False
Casablanca,176.06,2025-07-15,True
Marrakech,133.87,2025-07-13,False
Tunis,249.91,2025-07-14,True
Algiers,186.47,2025-07-14,True
Tangier,224.62,2025-07-15,True
Beirut,252.02,2025-07-15,True
Amman,276.81,2025-07-13,True
Istanbul,221.74,2025-07-15,True
Doha,204.94,2025-07-13,True
Manama,326.89,2025-07-15,True
Nice,87.27,2025-07-13,True
Santorini,170.96,2025-07-14,True
Albufeira,44.24,2025-07-15,True
Catania,127.87,2025-07-16,True
Malaga,71.35,2025-07-15,True
Dubrovnik,129.86,2025-07-14,True
Naples,178.7,2025-07-14,True
Toulon,231.58,2025-07-15,True
Sharm El Sheikh,177.28,2025-07-15,True
Hurghada,184.53,2025-07-15,True
Djerba,316.21,2025-07-14,True
Essaouira,228.99,2025-07-16,True
