City,Price,Date,Beach
Paris,51.51,2025-12-16,False
Amsterdam,45.61,2025-12-16,False
Rome,77.08,2025-12-17,True
Madrid,58.39,2025-12-16,False
Lisbon,59.6,2025-12-17,True
Athens,143.78,2025-12-17,True
Barcelona,22.96,2025-12-15,True
Berlin,51.51,2025-12-15,False
Milan,43.89,2025-12-15,False
Vienna,31.01,2025-12-14,False
Brussels,44.18,2025-12-15,False
Prague,47.09,2025-12-15,False
Budapest,52.03,2025-12-14,False
Zurich,83.08,2025-12-15,False
Cairo,187.76,2025-12-14,False
Casablanca,119.89,2025-12-15,True
Marrakech,50.81,2025-12-14,False
Tunis,167.07,2025-12-14,True
Algiers,105.7,2025-12-15,True
Tangier,124.44,2025-12-14,True
Beirut,185.98,2025-12-15,True
Amman,92.86,2025-12-15,True
Istanbul,123.57,2025-12-13,True
Doha,288.13,2025-12-15,True
Manama,314.66,2025-12-16,True
Nice,103.11,2025-12-13,True
Santorini,115.5,2025-12-13,True
Albufeira,22.25,2025-12-13,True
Catania,78.28,2025-12-14,True
Malaga,39.87,2025-12-15,True
Dubrovnik,147.41,2025-12-14,True
Naples,54.97,2025-12-14,True
Toulon,170.12,2025-12-14,True
Sharm El Sheikh,95.44,2025-12-14,True
Hurghada,136.56,2025-12-14,True
Djerba,157.87,2025-12-13,True
Essaouira,92.15,2025-12-15,True
Agadir,40.07,2025-12-14,True
