City,Price,Date
Paris,54.36,2025-03-18
Amsterdam,59.7,2025-03-18
Rome,38.23,2025-03-17
Madrid,94.2,2025-03-21
Lisbon,95.36,2025-03-17
Athens,100.33,2025-03-20
Barcelona,58.51,2025-03-21
Berlin,109.78,2025-03-18
Milan,80.68,2025-03-21
Vienna,35.25,2025-03-21
Brussels,110.95,2025-03-17
Prague,43.17,2025-03-17
Budapest,33.14,2025-03-17
Zurich,103.21,2025-03-21
Cairo,177.29,2025-03-18
Casablanca,164.71,2025-03-21
Marrakech,54.51,2025-03-17
Tunis,235.65,2025-03-20
Algiers,108.23,2025-03-19
Tangier,141.34,2025-03-17
Beirut,156.83,2025-03-18
Amman,137.24,2025-03-21
Istanbul,137.56,2025-03-17
Doha,166.69,2025-03-17
Manama,157.12,2025-03-19
