City,Price,Date,Beach
Paris,50.88,2026-03-04,False
Amsterdam,51.78,2026-03-04,False
Rome,62.34,2026-03-05,True
Madrid,66.58,2026-03-03,False
Lisbon,58.54,2026-03-02,True
Athens,76.91,2026-03-07,True
Barcelona,50.88,2026-03-04,True
Berlin,50.88,2026-03-06,False
Milan,46.63,2026-03-02,False
Vienna,53.18,2026-03-05,False
Brussels,46.11,2026-03-04,False
Prague,55.21,2026-03-07,False
Budapest,52.4,2026-03-07,False
Zurich,77.55,2026-03-03,False
Casablanca,90.86,2026-03-05,True
Marrakech,48.33,2026-03-05,False
Tunis,110.34,2026-03-07,True
Algiers,74.5,2026-03-02,True
Tangier,64.67,2026-03-07,True
Istanbul,120.64,2026-03-05,True
Nice,66.09,2026-03-02,True
Santorini,160.76,2026-03-04,True
Albufeira,35.32,2026-03-03,True
Catania,66.0,2026-03-07,True
Malaga,34.33,2026-03-05,True
Dubrovnik,69.28,2026-03-05,True
Naples,68.31,2026-03-07,True
Toulon,192.83,2026-03-04,True
Djerba,114.66,2026-03-05,True
Essaouira,71.85,2026-03-05,True
Agadir,56.92,2026-03-05,True
