City,Price,Date,Beach
Paris,41.86,2026-01-25,False
Amsterdam,41.08,2026-01-27,False
Rome,29.7,2026-01-28,True
Madrid,41.11,2026-01-24,False
Lisbon,24.84,2026-01-27,True
Athens,41.08,2026-01-28,True
Barcelona,26.47,2026-01-24,True
Berlin,33.22,2026-01-24,False
Milan,21.93,2026-01-24,False
Vienna,24.84,2026-01-25,False
Brussels,41.89,2026-01-26,False
Prague,24.84,2026-01-24,False
Budapest,24.13,2026-01-24,False
Zurich,68.33,2026-01-24,False
Cairo,98.24,2026-01-24,False
Casablanca,67.87,2026-01-27,True
Marrakech,34.55,2026-01-26,False
Tunis,59.38,2026-01-27,True
Algiers,65.12,2026-01-24,True
Tangier,37.59,2026-01-28,True
Beirut,71.83,2026-01-27,True
Amman,39.09,2026-01-26,True
Istanbul,61.43,2026-01-27,True
Doha,116.64,2026-01-27,True
Manama,136.67,2026-01-27,True
Nice,58.74,2026-01-26,True
Santorini,69.68,2026-01-27,True
Albufeira,19.07,2026-01-27,True
Catania,40.51,2026-01-27,True
Malaga,22.73,2026-01-27,True
Dubrovnik,24.13,2026-01-26,True
Naples,43.79,2026-01-24,True
Toulon,166.96,2026-01-26,True
Sharm El Sheikh,70.56,2026-01-26,True
Hurghada,46.57,2026-01-27,True
Djerba,96.01,2026-01-25,True
Essaouira,21.6,2026-01-27,True
Agadir,34.55,2026-01-25,True
