City,Price,Date
Paris,54.36,2025-03-18
Amsterdam,59.7,2025-03-19
Rome,62.48,2025-03-20
Madrid,98.42,2025-03-21
Lisbon,119.06,2025-03-21
Athens,109.87,2025-03-20
Barcelona,58.51,2025-03-21
Berlin,107.92,2025-03-21
Milan,80.6,2025-03-21
Vienna,35.26,2025-03-21
Brussels,139.45,2025-03-18
Prague,56.85,2025-03-19
Budapest,49.22,2025-03-21
Zurich,115.61,2025-03-21
Cairo,177.29,2025-03-18
Casablanca,164.71,2025-03-21
Marrakech,58.51,2025-03-19
Tunis,235.65,2025-03-20
Algiers,108.23,2025-03-19
Tangier,322.84,2025-03-22
Beirut,156.83,2025-03-18
Amman,137.24,2025-03-21
Istanbul,122.1,2025-03-21
Doha,208.57,2025-03-22
Manama,157.12,2025-03-19
