City,Price,Date,Beach
Paris,40.11,2025-09-11,False
Amsterdam,38.59,2025-09-11,False
Rome,60.14,2025-09-09,True
Madrid,77.53,2025-09-09,False
Athens,63.17,2025-09-09,True
Barcelona,56.77,2025-09-10,True
Berlin,50.73,2025-09-09,False
Milan,63.82,2025-09-10,False
Vienna,54.15,2025-09-09,False
Brussels,76.51,2025-09-10,False
Prague,43.15,2025-09-10,False
Budapest,41.73,2025-09-13,False
Zurich,57.25,2025-09-11,False
Cairo,128.83,2025-09-10,False
Casablanca,92.92,2025-09-10,True
Marrakech,37.38,2025-09-11,False
Tunis,90.08,2025-09-09,True
Algiers,78.02,2025-09-09,True
Tangier,61.37,2025-09-09,True
Beirut,112.15,2025-09-10,True
Amman,114.21,2025-09-09,True
Istanbul,50.44,2025-09-13,True
Doha,137.03,2025-09-13,True
Nice,42.48,2025-09-13,True
Santorini,94.58,2025-09-10,True
Albufeira,44.9,2025-09-10,True
Catania,63.2,2025-09-10,True
Malaga,65.68,2025-09-09,True
Dubrovnik,67.0,2025-09-09,True
Naples,75.05,2025-09-12,True
Toulon,161.09,2025-09-09,True
Sharm El Sheikh,101.87,2025-09-09,True
Hurghada,91.38,2025-09-09,True
Djerba,73.2,2025-09-09,True
Essaouira,50.48,2025-09-10,True
Agadir,56.9,2025-09-10,True
