City,Price,Date,Beach
Paris,78.49,2025-10-22,False
Amsterdam,124.85,2025-10-26,False
Rome,59.12,2025-10-23,True
Madrid,76.66,2025-10-26,False
Lisbon,101.81,2025-10-25,True
Athens,59.65,2025-10-23,True
Barcelona,60.92,2025-10-22,True
Berlin,75.46,2025-10-22,False
Milan,67.08,2025-10-22,False
Vienna,36.12,2025-10-22,False
Brussels,133.65,2025-10-22,False
Prague,38.93,2025-10-22,False
Budapest,46.37,2025-10-22,False
Zurich,78.48,2025-10-23,False
Cairo,153.96,2025-10-22,False
Casablanca,105.91,2025-10-26,True
Marrakech,88.07,2025-10-26,False
Tunis,113.58,2025-10-24,True
Algiers,129.58,2025-10-26,True
Tangier,104.76,2025-10-26,True
Amman,140.49,2025-10-26,True
Istanbul,130.03,2025-10-26,True
Doha,168.18,2025-10-22,True
Manama,196.21,2025-10-22,True
Nice,53.85,2025-10-22,True
Santorini,43.82,2025-10-24,True
Albufeira,51.47,2025-10-22,True
Catania,58.43,2025-10-25,True
Malaga,55.63,2025-10-22,True
Dubrovnik,29.2,2025-10-22,True
Naples,61.63,2025-10-24,True
Toulon,243.06,2025-10-22,True
Sharm El Sheikh,121.57,2025-10-24,True
Hurghada,141.32,2025-10-23,True
Djerba,72.25,2025-10-25,True
Essaouira,102.44,2025-10-22,True
Agadir,104.67,2025-10-24,True
