City,Price,Date,Beach
Paris,63.47,2026-02-08,False
Amsterdam,50.9,2026-02-10,False
Rome,27.74,2026-02-09,True
Madrid,71.57,2026-02-07,False
Lisbon,68.21,2026-02-09,True
Athens,64.64,2026-02-07,True
Barcelona,71.81,2026-02-11,True
Berlin,71.5,2026-02-09,False
Milan,23.73,2026-02-09,False
Vienna,50.4,2026-02-09,False
Brussels,45.7,2026-02-10,False
Prague,50.15,2026-02-08,False
Budapest,56.95,2026-02-09,False
Zurich,78.69,2026-02-09,False
Cairo,201.23,2026-02-07,False
Casablanca,138.49,2026-02-07,True
Marrakech,59.12,2026-02-09,False
Tunis,97.55,2026-02-09,True
Algiers,71.56,2026-02-10,True
Tangier,80.22,2026-02-11,True
Beirut,93.94,2026-02-09,True
Amman,97.05,2026-02-09,True
Istanbul,112.84,2026-02-09,True
Doha,155.72,2026-02-09,True
Manama,168.14,2026-02-11,True
Nice,92.87,2026-02-09,True
Santorini,163.11,2026-02-09,True
Albufeira,53.86,2026-02-09,True
Catania,75.24,2026-02-10,True
Malaga,28.43,2026-02-08,True
Dubrovnik,66.49,2026-02-09,True
Naples,50.94,2026-02-07,True
Toulon,174.63,2026-02-08,True
Sharm El Sheikh,121.16,2026-02-10,True
Hurghada,114.54,2026-02-09,True
Djerba,167.08,2026-02-09,True
Essaouira,70.98,2026-02-09,True
Agadir,37.64,2026-02-08,True
