City,Price,Date,Beach
Paris,161.39,2025-08-24,False
Amsterdam,75.54,2025-08-20,False
Athens,38.86,2025-08-24,True
Barcelona,95.51,2025-08-20,True
Berlin,90.26,2025-08-21,False
Milan,82.09,2025-08-20,False
Brussels,144.13,2025-08-20,False
Prague,55.4,2025-08-20,False
Zurich,91.22,2025-08-20,False
Cairo,167.38,2025-08-24,False
Casablanca,130.57,2025-08-21,True
Marrakech,95.88,2025-08-20,False
Tunis,104.57,2025-08-23,True
Algiers,117.93,2025-08-24,True
Tangier,108.95,2025-08-21,True
Beirut,114.19,2025-08-23,True
Amman,134.32,2025-08-20,True
Istanbul,54.78,2025-08-23,True
Doha,162.57,2025-08-24,True
Manama,200.91,2025-08-24,True
Nice,73.66,2025-08-24,True
Santorini,70.12,2025-08-24,True
Catania,52.28,2025-08-20,True
Malaga,72.38,2025-08-24,True
Dubrovnik,88.24,2025-08-20,True
Naples,86.25,2025-08-22,True
Toulon,261.38,2025-08-24,True
Sharm El Sheikh,123.78,2025-08-24,True
Hurghada,107.97,2025-08-24,True
Essaouira,138.42,2025-08-20,True
Agadir,111.63,2025-08-20,True
