City,Price,Date,Beach
Paris,45.83,2026-01-18,False
Amsterdam,38.83,2026-01-18,False
Rome,29.66,2026-01-18,True
Madrid,23.8,2026-01-17,False
Lisbon,24.79,2026-01-14,True
Athens,21.85,2026-01-15,True
Barcelona,41.44,2026-01-17,True
Berlin,26.75,2026-01-18,False
Milan,21.85,2026-01-14,False
Vienna,31.64,2026-01-17,False
Brussels,44.64,2026-01-14,False
Prague,19.0,2026-01-17,False
Budapest,21.85,2026-01-14,False
Zurich,55.39,2026-01-17,False
Cairo,114.65,2026-01-18,False
Casablanca,75.32,2026-01-14,True
Marrakech,33.42,2026-01-18,False
Tunis,59.08,2026-01-17,True
Algiers,64.67,2026-01-14,True
Tangier,41.92,2026-01-15,True
Beirut,83.84,2026-01-16,True
Amman,38.35,2026-01-14,True
Istanbul,37.71,2026-01-17,True
Doha,115.74,2026-01-13,True
Manama,154.97,2026-01-17,True
Nice,47.84,2026-01-18,True
Santorini,109.36,2026-01-18,True
Albufeira,18.78,2026-01-17,True
Catania,21.85,2026-01-15,True
Malaga,21.85,2026-01-15,True
Dubrovnik,26.76,2026-01-16,True
Naples,21.85,2026-01-15,True
Toulon,156.17,2026-01-17,True
Sharm El Sheikh,65.13,2026-01-17,True
Hurghada,82.88,2026-01-15,True
Djerba,110.16,2026-01-17,True
Essaouira,27.48,2026-01-16,True
Agadir,35.7,2026-01-18,True
