City,Price,Date,Beach
Paris,62.68,2025-10-15,False
Amsterdam,55.39,2025-10-15,False
Rome,62.01,2025-10-14,True
Madrid,57.96,2025-10-15,False
Lisbon,80.8,2025-10-13,True
Athens,45.2,2025-10-16,True
Barcelona,36.2,2025-10-14,True
Berlin,34.09,2025-10-14,False
Milan,31.11,2025-10-14,False
Vienna,54.07,2025-10-15,False
Budapest,37.43,2025-10-16,False
Zurich,76.35,2025-10-13,False
Cairo,145.4,2025-10-13,False
Casablanca,102.39,2025-10-14,True
Marrakech,55.09,2025-10-13,False
Tunis,92.83,2025-10-14,True
Algiers,116.17,2025-10-17,True
Tangier,62.54,2025-10-16,True
Beirut,107.29,2025-10-16,True
Amman,97.96,2025-10-15,True
Istanbul,97.21,2025-10-17,True
Doha,165.29,2025-10-16,True
Manama,157.81,2025-10-13,True
Nice,61.2,2025-10-14,True
Santorini,63.38,2025-10-14,True
Albufeira,39.05,2025-10-14,True
Catania,40.86,2025-10-14,True
Malaga,47.04,2025-10-16,True
Dubrovnik,39.05,2025-10-13,True
Naples,29.14,2025-10-15,True
Toulon,183.17,2025-10-14,True
Sharm El Sheikh,102.72,2025-10-13,True
Hurghada,110.42,2025-10-14,True
Djerba,84.46,2025-10-13,True
Essaouira,76.97,2025-10-15,True
Agadir,73.22,2025-10-14,True
