City,Price,Date,Beach
Amsterdam,73.04,2025-07-04,False
Rome,90.63,2025-07-03,True
Madrid,111.96,2025-07-04,False
Lisbon,148.4,2025-07-02,True
Athens,112.85,2025-07-02,True
Barcelona,71.76,2025-07-02,True
Berlin,119.87,2025-07-01,False
Milan,94.14,2025-07-03,False
Vienna,111.44,2025-07-04,False
Brussels,98.5,2025-07-02,False
Prague,90.97,2025-07-03,False
Budapest,88.73,2025-07-05,False
Zurich,130.83,2025-07-03,False
Cairo,189.49,2025-07-04,False
Casablanca,170.8,2025-07-02,True
Marrakech,176.06,2025-07-04,False
Tunis,218.13,2025-07-04,True
Algiers,175.28,2025-07-02,True
Tangier,202.49,2025-07-02,True
Istanbul,190.01,2025-07-05,True
Doha,225.98,2025-07-02,True
Manama,144.72,2025-07-04,True
Nice,136.84,2025-07-03,True
Santorini,156.34,2025-07-05,True
Albufeira,63.18,2025-07-02,True
Catania,129.36,2025-07-01,True
Malaga,82.57,2025-07-02,True
Dubrovnik,121.66,2025-07-02,True
Naples,56.07,2025-07-04,True
Toulon,226.21,2025-07-03,True
Sharm El Sheikh,150.63,2025-07-04,True
Hurghada,155.53,2025-07-04,True
Djerba,272.2,2025-07-03,True
Essaouira,122.71,2025-07-05,True
Agadir,133.79,2025-07-02,True
