City,Price,Date,Beach
Paris,53.38,2025-12-07,False
Rome,42.68,2025-12-08,True
Madrid,134.23,2025-12-05,False
Lisbon,73.26,2025-12-05,True
Athens,60.87,2025-12-08,True
Barcelona,56.24,2025-12-07,True
Berlin,77.05,2025-12-08,False
Milan,56.13,2025-12-05,False
Brussels,51.61,2025-12-08,False
Prague,53.18,2025-12-04,False
Budapest,51.42,2025-12-05,False
Zurich,88.9,2025-12-08,False
Cairo,185.41,2025-12-06,False
Marrakech,35.3,2025-12-08,False
Tunis,132.15,2025-12-07,True
Algiers,91.49,2025-12-07,True
Tangier,51.98,2025-12-07,True
Beirut,119.11,2025-12-06,True
Amman,70.02,2025-12-08,True
Istanbul,126.1,2025-12-05,True
Doha,210.02,2025-12-08,True
Nice,103.79,2025-12-05,True
Santorini,169.92,2025-12-08,True
Albufeira,66.2,2025-12-07,True
Malaga,39.57,2025-12-07,True
Dubrovnik,58.68,2025-12-08,True
Naples,66.38,2025-12-06,True
Toulon,297.45,2025-12-06,True
Hurghada,94.38,2025-12-06,True
Djerba,120.26,2025-12-08,True
Essaouira,65.76,2025-12-08,True
Agadir,35.3,2025-12-07,True
