City,Price,Date,Beach
Paris,55.27,2025-04-24,False
Amsterdam,52.34,2025-04-27,False
Rome,59.15,2025-04-24,True
Madrid,43.56,2025-04-26,False
Lisbon,91.26,2025-04-23,True
Athens,72.38,2025-04-24,True
Barcelona,48.54,2025-04-27,True
Berlin,54.83,2025-04-23,False
Milan,62.8,2025-04-25,False
Vienna,57.15,2025-04-25,False
Brussels,138.59,2025-04-26,False
Prague,47.46,2025-04-27,False
Budapest,45.64,2025-04-27,False
Zurich,70.84,2025-04-24,False
Cairo,156.04,2025-04-23,False
Casablanca,132.78,2025-04-23,True
Marrakech,65.42,2025-04-24,False
Algiers,122.72,2025-04-24,True
Tangier,113.21,2025-04-26,True
Beirut,152.11,2025-04-27,True
Amman,106.4,2025-04-27,True
Istanbul,82.71,2025-04-23,True
Doha,174.86,2025-04-24,True
Manama,156.72,2025-04-24,True
Nice,79.72,2025-04-27,True
Santorini,49.46,2025-04-24,True
Albufeira,61.8,2025-04-23,True
Catania,39.29,2025-04-25,True
Malaga,49.85,2025-04-24,True
Dubrovnik,54.83,2025-04-26,True
Naples,73.65,2025-04-23,True
Toulon,210.49,2025-04-26,True
Sharm El Sheikh,126.83,2025-04-24,True
Hurghada,142.33,2025-04-23,True
Djerba,87.52,2025-04-25,True
Essaouira,161.57,2025-04-27,True
Agadir,60.41,2025-04-23,True
