City,Price,Date,Beach
Paris,85.26,2025-12-25,False
Amsterdam,51.54,2025-12-26,False
Rome,64.56,2025-12-25,True
Madrid,67.78,2025-12-27,False
Lisbon,99.49,2025-12-28,True
Athens,101.43,2025-12-24,True
Barcelona,78.83,2025-12-28,True
Berlin,62.45,2025-12-26,False
Milan,34.35,2025-12-26,False
Vienna,42.76,2025-12-28,False
Brussels,89.38,2025-12-28,False
Prague,46.93,2025-12-28,False
Budapest,42.75,2025-12-27,False
Zurich,82.4,2025-12-26,False
Cairo,201.4,2025-12-28,False
Casablanca,162.17,2025-12-27,True
Marrakech,104.44,2025-12-26,False
Tunis,177.81,2025-12-27,True
Algiers,145.51,2025-12-27,True
Tangier,111.44,2025-12-28,True
Beirut,124.66,2025-12-28,True
Amman,147.95,2025-12-28,True
Istanbul,125.17,2025-12-28,True
Doha,283.73,2025-12-27,True
Manama,250.53,2025-12-27,True
Nice,108.8,2025-12-25,True
Santorini,161.11,2025-12-24,True
Albufeira,60.08,2025-12-27,True
Catania,101.14,2025-12-28,True
Malaga,92.56,2025-12-28,True
Dubrovnik,88.84,2025-12-26,True
Naples,74.38,2025-12-26,True
Toulon,230.48,2025-12-25,True
Sharm El Sheikh,138.02,2025-12-28,True
Hurghada,130.4,2025-12-28,True
Djerba,151.12,2025-12-28,True
Essaouira,140.98,2025-12-26,True
Agadir,137.04,2025-12-28,True
