City,Price,Date,Beach
Paris,35.54,2025-09-25,False
Amsterdam,40.04,2025-09-25,False
Rome,36.86,2025-09-27,True
Madrid,57.34,2025-09-23,False
Lisbon,74.67,2025-09-27,True
Athens,37.01,2025-09-25,True
Barcelona,28.7,2025-09-27,True
Berlin,40.41,2025-09-23,False
Milan,25.38,2025-09-24,False
Vienna,54.58,2025-09-24,False
Brussels,58.02,2025-09-24,False
Prague,22.88,2025-09-24,False
Budapest,33.04,2025-09-27,False
Zurich,55.6,2025-09-25,False
Cairo,121.33,2025-09-24,False
Casablanca,76.07,2025-09-24,True
Marrakech,59.03,2025-09-23,False
Algiers,88.02,2025-09-25,True
Tangier,60.04,2025-09-27,True
Beirut,98.16,2025-09-23,True
Amman,90.72,2025-09-26,True
Istanbul,45.52,2025-09-27,True
Doha,139.1,2025-09-23,True
Manama,131.16,2025-09-25,True
Nice,44.06,2025-09-27,True
Santorini,67.42,2025-09-24,True
Albufeira,33.02,2025-09-27,True
Catania,28.83,2025-09-23,True
Malaga,34.49,2025-09-24,True
Dubrovnik,48.48,2025-09-24,True
Naples,37.18,2025-09-23,True
Toulon,178.18,2025-09-27,True
Sharm El Sheikh,82.99,2025-09-24,True
Hurghada,88.53,2025-09-23,True
Djerba,75.07,2025-09-23,True
Essaouira,35.91,2025-09-27,True
Agadir,69.95,2025-09-24,True
