City,Price,Date,Beach
Paris,91.99,2025-08-14,False
Amsterdam,80.78,2025-08-12,False
Rome,80.77,2025-08-11,True
Madrid,54.31,2025-08-11,False
Lisbon,134.43,2025-08-12,True
Athens,123.26,2025-08-14,True
Barcelona,68.63,2025-08-12,True
Berlin,141.56,2025-08-14,False
Milan,73.86,2025-08-11,False
Vienna,112.48,2025-08-12,False
Brussels,109.6,2025-08-11,False
Budapest,92.4,2025-08-11,False
Zurich,109.07,2025-08-14,False
Cairo,200.78,2025-08-14,False
Casablanca,110.04,2025-08-13,True
Marrakech,124.3,2025-08-14,False
Tunis,177.43,2025-08-13,True
Algiers,129.75,2025-08-11,True
Tangier,129.03,2025-08-11,True
Beirut,139.02,2025-08-10,True
Amman,145.72,2025-08-11,True
Istanbul,170.33,2025-08-12,True
Doha,245.41,2025-08-12,True
Manama,275.86,2025-08-14,True
Nice,83.56,2025-08-13,True
Santorini,129.22,2025-08-12,True
Albufeira,62.87,2025-08-10,True
Malaga,85.24,2025-08-11,True
Dubrovnik,42.29,2025-08-10,True
Naples,62.0,2025-08-14,True
Toulon,273.79,2025-08-14,True
Sharm El Sheikh,188.81,2025-08-13,True
Hurghada,186.79,2025-08-13,True
Djerba,201.71,2025-08-12,True
Essaouira,126.71,2025-08-13,True
Agadir,101.6,2025-08-14,True
