City,Price,Date,Beach
Paris,251.31,2025-12-03,False
Rome,58.11,2025-11-30,True
Lisbon,59.41,2025-12-03,True
Athens,54.18,2025-11-30,True
Barcelona,32.06,2025-12-03,True
Berlin,34.68,2025-12-01,False
Milan,27.88,2025-12-02,False
Vienna,35.68,2025-12-01,False
Brussels,71.98,2025-12-01,False
Budapest,38.81,2025-12-02,False
Zurich,60.84,2025-12-01,False
Cairo,155.59,2025-11-30,False
Casablanca,85.26,2025-12-02,True
Marrakech,33.25,2025-12-01,False
Tunis,87.16,2025-12-02,True
Algiers,81.64,2025-12-02,True
Tangier,28.72,2025-12-02,True
Beirut,95.1,2025-11-29,True
Amman,46.99,2025-12-01,True
Istanbul,120.83,2025-12-01,True
Doha,155.6,2025-12-02,True
Manama,129.53,2025-12-03,True
Nice,66.79,2025-12-02,True
Santorini,111.17,2025-12-02,True
Albufeira,24.44,2025-12-02,True
Catania,64.41,2025-12-01,True
Malaga,26.69,2025-11-30,True
Dubrovnik,39.22,2025-11-29,True
Naples,53.95,2025-11-29,True
Toulon,177.96,2025-12-01,True
Sharm El Sheikh,82.65,2025-12-01,True
Hurghada,92.8,2025-11-29,True
Djerba,58.73,2025-12-01,True
Essaouira,64.94,2025-12-02,True
Agadir,53.23,2025-11-30,True
