City,Price,Date,Beach
Amsterdam,100.03,2025-08-07,False
Madrid,116.56,2025-08-10,False
Lisbon,95.13,2025-08-11,True
Athens,77.67,2025-08-10,True
Barcelona,75.85,2025-08-11,True
Berlin,111.91,2025-08-07,False
Milan,60.91,2025-08-11,False
Vienna,91.34,2025-08-11,False
Brussels,122.92,2025-08-11,False
Prague,91.43,2025-08-07,False
Budapest,73.21,2025-08-11,False
Zurich,130.37,2025-08-11,False
Cairo,204.92,2025-08-11,False
Casablanca,103.25,2025-08-08,True
Marrakech,126.8,2025-08-11,False
Tunis,145.58,2025-08-09,True
Algiers,163.87,2025-08-11,True
Tangier,192.36,2025-08-08,True
Beirut,184.0,2025-08-09,True
Amman,210.15,2025-08-07,True
Istanbul,138.8,2025-08-10,True
Doha,213.41,2025-08-10,True
Manama,216.92,2025-08-07,True
Nice,74.31,2025-08-10,True
Santorini,131.3,2025-08-10,True
Albufeira,62.96,2025-08-11,True
Catania,82.39,2025-08-09,True
Malaga,73.35,2025-08-11,True
Dubrovnik,64.76,2025-08-07,True
Naples,74.57,2025-08-11,True
Toulon,180.88,2025-08-11,True
Sharm El Sheikh,201.99,2025-08-11,True
Hurghada,214.02,2025-08-09,True
Djerba,202.45,2025-08-11,True
Essaouira,163.0,2025-08-09,True
Agadir,123.85,2025-08-07,True
