City,Price,Date
Paris,48.92,2025-03-25
Amsterdam,85.7,2025-03-24
Rome,48.42,2025-03-23
Madrid,78.01,2025-03-25
Lisbon,72.09,2025-03-24
Athens,77.84,2025-03-23
Barcelona,56.04,2025-03-23
Berlin,65.17,2025-03-24
Milan,65.44,2025-03-24
Vienna,66.25,2025-03-24
Brussels,124.76,2025-03-23
Prague,32.37,2025-03-24
Budapest,26.11,2025-03-24
Zurich,118.45,2025-03-21
Cairo,157.11,2025-03-24
Casablanca,95.97,2025-03-23
Marrakech,52.21,2025-03-23
Tunis,222.19,2025-03-23
Algiers,98.56,2025-03-23
Tangier,108.28,2025-03-25
Beirut,173.67,2025-03-23
Amman,170.53,2025-03-24
Istanbul,85.73,2025-03-24
Doha,166.27,2025-03-24
Manama,208.68,2025-03-25
