City,Price,Date,Beach
Paris,53.86,2025-07-02,False
Amsterdam,46.56,2025-07-03,False
Rome,66.97,2025-07-03,True
Madrid,104.64,2025-07-01,False
Lisbon,97.27,2025-07-01,True
Athens,45.78,2025-06-29,True
Barcelona,50.78,2025-07-01,True
Berlin,72.02,2025-06-30,False
Milan,46.56,2025-07-03,False
Vienna,92.42,2025-07-02,False
Brussels,87.3,2025-07-02,False
Prague,73.93,2025-06-30,False
Budapest,85.76,2025-06-30,False
Zurich,77.61,2025-06-30,False
Cairo,157.74,2025-07-03,False
Casablanca,133.51,2025-07-03,True
Marrakech,48.9,2025-06-30,False
Tunis,180.97,2025-07-03,True
Algiers,151.72,2025-07-03,True
Tangier,201.44,2025-06-30,True
Istanbul,104.63,2025-06-29,True
Doha,166.83,2025-07-01,True
Manama,116.95,2025-06-29,True
Nice,58.01,2025-07-02,True
Santorini,103.5,2025-07-03,True
Albufeira,29.25,2025-06-29,True
Catania,39.9,2025-07-01,True
Malaga,55.99,2025-07-01,True
Dubrovnik,40.86,2025-07-01,True
Naples,53.72,2025-06-29,True
Toulon,181.57,2025-07-03,True
Sharm El Sheikh,130.66,2025-07-03,True
Hurghada,110.02,2025-06-29,True
Djerba,183.03,2025-06-30,True
Essaouira,150.89,2025-07-02,True
Agadir,85.51,2025-07-03,True
