City,Price,Date,Beach
Paris,81.28,2025-10-27,False
Amsterdam,70.21,2025-10-31,False
Rome,27.78,2025-10-29,True
Madrid,73.23,2025-10-29,False
Lisbon,94.73,2025-10-31,True
Athens,59.48,2025-10-31,True
Barcelona,55.21,2025-10-30,True
Berlin,81.51,2025-10-28,False
Milan,45.51,2025-10-29,False
Vienna,96.32,2025-10-31,False
Brussels,120.31,2025-10-30,False
Prague,51.23,2025-10-30,False
Budapest,99.66,2025-10-30,False
Zurich,121.56,2025-10-28,False
Cairo,175.73,2025-10-28,False
Casablanca,93.85,2025-10-30,True
Marrakech,37.74,2025-10-31,False
Tunis,112.94,2025-10-28,True
Algiers,83.54,2025-10-28,True
Tangier,66.66,2025-10-31,True
Beirut,151.83,2025-10-28,True
Amman,101.36,2025-10-31,True
Istanbul,209.3,2025-10-28,True
Doha,184.82,2025-10-27,True
Manama,166.13,2025-10-31,True
Nice,65.94,2025-10-28,True
Santorini,96.06,2025-10-31,True
Albufeira,40.72,2025-10-30,True
Catania,67.64,2025-10-31,True
Malaga,29.24,2025-10-28,True
Dubrovnik,68.56,2025-10-27,True
Naples,86.97,2025-10-31,True
Toulon,256.71,2025-10-29,True
Sharm El Sheikh,85.44,2025-10-29,True
Hurghada,120.7,2025-10-29,True
Djerba,143.32,2025-10-30,True
Essaouira,77.82,2025-10-31,True
Agadir,37.22,2025-10-29,True
