City,Price,Date,Beach
Paris,81.77,2026-01-17,False
Amsterdam,40.51,2026-01-14,False
Rome,64.68,2026-01-16,True
Madrid,39.48,2026-01-14,False
Lisbon,61.29,2026-01-13,True
Athens,47.19,2026-01-15,True
Barcelona,25.46,2026-01-17,True
Berlin,51.34,2026-01-13,False
Milan,59.55,2026-01-17,False
Vienna,49.08,2026-01-15,False
Brussels,40.81,2026-01-14,False
Prague,43.91,2026-01-15,False
Budapest,39.27,2026-01-14,False
Zurich,80.72,2026-01-16,False
Cairo,134.82,2026-01-14,False
Casablanca,86.69,2026-01-15,True
Marrakech,34.09,2026-01-15,False
Tunis,95.67,2026-01-15,True
Algiers,76.69,2026-01-14,True
Tangier,58.96,2026-01-15,True
Beirut,100.57,2026-01-16,True
Amman,59.32,2026-01-17,True
Istanbul,94.9,2026-01-15,True
Doha,198.35,2026-01-12,True
Manama,200.58,2026-01-17,True
Nice,96.88,2026-01-13,True
Albufeira,23.3,2026-01-14,True
Catania,60.71,2026-01-15,True
Malaga,19.19,2026-01-16,True
Dubrovnik,61.61,2026-01-16,True
Naples,57.32,2026-01-15,True
Toulon,176.96,2026-01-15,True
Sharm El Sheikh,103.18,2026-01-15,True
Hurghada,89.14,2026-01-14,True
Djerba,145.84,2026-01-17,True
Essaouira,65.55,2026-01-15,True
Agadir,63.96,2026-01-17,True
