City,Price,Date,Beach
Amsterdam,50.77,2026-02-22,False
Rome,90.72,2026-02-21,True
Athens,82.02,2026-02-22,True
Berlin,62.74,2026-02-20,False
Vienna,120.37,2026-02-21,False
Budapest,51.78,2026-02-22,False
Zurich,137.3,2026-02-22,False
Marrakech,41.58,2026-02-19,False
Tunis,117.53,2026-02-22,True
Algiers,96.04,2026-02-21,True
Amman,78.7,2026-02-22,True
Nice,91.9,2026-02-21,True
Santorini,147.34,2026-02-21,True
Malaga,68.22,2026-02-22,True
Dubrovnik,113.3,2026-02-22,True
Hurghada,116.77,2026-02-22,True
Djerba,122.61,2026-02-22,True
Agadir,70.24,2026-02-22,True
