City,Price,Date,Beach
Paris,50.77,2026-02-21,False
Athens,112.21,2026-02-22,True
Barcelona,64.59,2026-02-22,True
Milan,107.33,2026-02-20,False
Vienna,53.5,2026-02-21,False
Brussels,115.72,2026-02-22,False
Prague,47.71,2026-02-22,False
Cairo,180.5,2026-02-22,False
Casablanca,109.11,2026-02-21,True
Marrakech,68.99,2026-02-21,False
Tunis,157.31,2026-02-22,True
Tangier,105.56,2026-02-19,True
Beirut,159.7,2026-02-19,True
Amman,175.91,2026-02-21,True
Istanbul,109.01,2026-02-22,True
Nice,68.73,2026-02-20,True
Catania,78.9,2026-02-22,True
Hurghada,154.21,2026-02-20,True
Djerba,133.58,2026-02-22,True
Essaouira,86.4,2026-02-21,True
Agadir,54.53,2026-02-22,True
