City,Price,Date,Beach
Paris,50.96,2025-05-08,False
Madrid,54.54,2025-05-07,False
Lisbon,81.17,2025-05-06,True
Athens,74.73,2025-05-08,True
Barcelona,54.22,2025-05-06,True
Berlin,64.04,2025-05-08,False
Milan,48.66,2025-05-07,False
Vienna,99.74,2025-05-07,False
Brussels,126.69,2025-05-06,False
Budapest,68.98,2025-05-08,False
Zurich,54.13,2025-05-08,False
Cairo,149.92,2025-05-08,False
Casablanca,125.85,2025-05-08,True
Marrakech,66.31,2025-05-06,False
Tunis,178.43,2025-05-07,True
Algiers,103.56,2025-05-08,True
Tangier,121.3,2025-05-10,True
Beirut,135.43,2025-05-06,True
Amman,136.0,2025-05-08,True
Istanbul,121.68,2025-05-07,True
Doha,181.96,2025-05-06,True
Manama,176.56,2025-05-08,True
Nice,92.27,2025-05-08,True
Santorini,69.97,2025-05-06,True
Albufeira,51.14,2025-05-08,True
Catania,79.38,2025-05-07,True
Malaga,77.91,2025-05-07,True
Dubrovnik,66.03,2025-05-10,True
Naples,64.04,2025-05-07,True
Toulon,225.76,2025-05-06,True
Sharm El Sheikh,146.22,2025-05-09,True
Hurghada,144.35,2025-05-06,True
Djerba,122.35,2025-05-09,True
Essaouira,143.82,2025-05-08,True
Agadir,55.73,2025-05-08,True
