City,Price,Date,Beach
Paris,61.27,2025-06-23,False
Amsterdam,95.99,2025-06-22,False
Rome,29.33,2025-06-19,True
Madrid,68.94,2025-06-23,False
Lisbon,117.15,2025-06-19,True
Athens,29.33,2025-06-23,True
Barcelona,33.34,2025-06-22,True
Berlin,66.19,2025-06-23,False
Milan,62.55,2025-06-23,False
Vienna,95.33,2025-06-23,False
Brussels,106.97,2025-06-21,False
Prague,90.01,2025-06-23,False
Budapest,29.33,2025-06-23,False
Zurich,88.04,2025-06-20,False
Cairo,113.83,2025-06-20,False
Casablanca,155.55,2025-06-19,True
Marrakech,72.5,2025-06-23,False
Tunis,151.31,2025-06-21,True
Algiers,113.18,2025-06-23,True
Tangier,160.19,2025-06-22,True
Beirut,198.93,2025-06-21,True
Amman,123.78,2025-06-19,True
Istanbul,160.08,2025-06-21,True
Doha,154.9,2025-06-23,True
Manama,123.5,2025-06-19,True
Nice,29.33,2025-06-23,True
Santorini,138.04,2025-06-22,True
Albufeira,29.33,2025-06-22,True
Catania,29.33,2025-06-20,True
Malaga,29.33,2025-06-22,True
Dubrovnik,29.33,2025-06-19,True
Naples,29.33,2025-06-22,True
Toulon,168.37,2025-06-23,True
Sharm El Sheikh,122.92,2025-06-22,True
Hurghada,92.44,2025-06-20,True
Djerba,130.35,2025-06-20,True
Essaouira,179.2,2025-06-23,True
Agadir,78.48,2025-06-23,True
