City,Price,Date,Beach
Paris,101.02,2025-08-27,False
Amsterdam,63.42,2025-08-27,False
Rome,99.69,2025-08-27,True
Lisbon,82.36,2025-08-27,True
Athens,82.31,2025-08-27,True
Barcelona,83.98,2025-08-27,True
Milan,95.29,2025-08-27,False
Brussels,96.35,2025-08-26,False
Prague,98.29,2025-08-25,False
Budapest,107.91,2025-08-25,False
Zurich,88.27,2025-08-25,False
Cairo,141.25,2025-08-27,False
Casablanca,130.22,2025-08-23,True
Marrakech,81.79,2025-08-27,False
Algiers,103.31,2025-08-26,True
Tangier,153.77,2025-08-25,True
Beirut,123.39,2025-08-26,True
Amman,126.4,2025-08-26,True
Istanbul,68.23,2025-08-27,True
Doha,192.41,2025-08-27,True
Manama,321.3,2025-08-24,True
Nice,64.42,2025-08-27,True
Santorini,86.2,2025-08-24,True
Albufeira,52.24,2025-08-25,True
Catania,49.6,2025-08-26,True
Malaga,71.07,2025-08-25,True
Dubrovnik,47.81,2025-08-26,True
Naples,97.69,2025-08-26,True
Sharm El Sheikh,146.62,2025-08-27,True
Hurghada,114.81,2025-08-24,True
Djerba,75.96,2025-08-25,True
Essaouira,134.15,2025-08-27,True
