City,Price,Date,Beach
Rome,113.5,2025-09-02,True
Madrid,130.71,2025-09-02,False
Lisbon,132.46,2025-08-30,True
Athens,108.96,2025-09-03,True
Barcelona,180.2,2025-09-02,True
Berlin,92.5,2025-09-01,False
Milan,107.79,2025-09-01,False
Vienna,131.79,2025-09-02,False
Brussels,123.12,2025-09-01,False
Budapest,54.4,2025-08-30,False
Zurich,122.87,2025-09-02,False
Cairo,177.16,2025-09-01,False
Casablanca,134.71,2025-09-03,True
Marrakech,128.64,2025-09-02,False
Tunis,154.62,2025-09-01,True
Algiers,138.1,2025-09-01,True
Beirut,127.42,2025-09-02,True
Amman,138.48,2025-09-02,True
Istanbul,181.04,2025-09-02,True
Doha,197.31,2025-08-30,True
Manama,186.4,2025-09-01,True
Nice,124.01,2025-09-02,True
Santorini,140.66,2025-09-03,True
Albufeira,67.46,2025-08-30,True
Catania,122.84,2025-09-02,True
Malaga,108.18,2025-09-01,True
Dubrovnik,135.48,2025-09-02,True
Naples,150.41,2025-09-02,True
Toulon,170.13,2025-09-03,True
Sharm El Sheikh,208.73,2025-08-30,True
Hurghada,139.05,2025-09-02,True
Djerba,143.66,2025-09-03,True
Essaouira,136.62,2025-09-02,True
Agadir,75.27,2025-09-03,True
