City,Price,Date,Beach
Paris,56.26,2025-06-06,False
Amsterdam,102.86,2025-06-05,False
Rome,117.47,2025-06-05,True
Madrid,116.68,2025-06-03,False
Lisbon,135.91,2025-06-03,True
Athens,91.58,2025-06-03,True
Barcelona,110.19,2025-06-05,True
Berlin,137.41,2025-06-03,False
Vienna,134.56,2025-06-05,False
Brussels,137.2,2025-06-05,False
Prague,58.24,2025-06-05,False
Budapest,70.69,2025-06-03,False
Zurich,114.0,2025-06-05,False
Cairo,178.09,2025-06-05,False
Casablanca,128.12,2025-06-04,True
Marrakech,168.11,2025-06-06,False
Algiers,155.16,2025-06-06,True
Tangier,126.74,2025-06-04,True
Beirut,232.55,2025-06-06,True
Istanbul,116.1,2025-06-03,True
Doha,196.93,2025-06-05,True
Manama,161.11,2025-06-06,True
Nice,141.21,2025-06-04,True
Santorini,209.76,2025-06-03,True
Albufeira,76.53,2025-06-03,True
Malaga,83.03,2025-06-06,True
Dubrovnik,146.19,2025-06-03,True
Naples,87.49,2025-06-06,True
Toulon,204.75,2025-06-06,True
Sharm El Sheikh,169.54,2025-06-02,True
Hurghada,139.85,2025-06-02,True
Essaouira,188.63,2025-06-03,True
Agadir,43.88,2025-06-04,True
