City,Price,Date,Beach
Paris,82.59,2025-11-08,False
Amsterdam,72.89,2025-11-10,False
Madrid,72.62,2025-11-11,False
Lisbon,56.27,2025-11-11,True
Athens,70.83,2025-11-09,True
Barcelona,56.81,2025-11-11,True
Milan,68.47,2025-11-11,False
Vienna,52.82,2025-11-08,False
Prague,68.6,2025-11-09,False
Budapest,44.71,2025-11-11,False
Zurich,68.84,2025-11-10,False
Cairo,154.2,2025-11-11,False
Casablanca,86.92,2025-11-11,True
Marrakech,55.2,2025-11-10,False
Tunis,125.85,2025-11-08,True
Algiers,81.57,2025-11-11,True
Tangier,60.37,2025-11-07,True
Amman,68.58,2025-11-09,True
Istanbul,104.09,2025-11-11,True
Doha,169.61,2025-11-11,True
Manama,143.71,2025-11-07,True
Nice,68.14,2025-11-10,True
Santorini,108.38,2025-11-11,True
Albufeira,35.17,2025-11-09,True
Catania,71.89,2025-11-10,True
Malaga,48.44,2025-11-07,True
Dubrovnik,61.81,2025-11-09,True
Toulon,225.9,2025-11-09,True
Sharm El Sheikh,120.25,2025-11-11,True
Hurghada,118.72,2025-11-08,True
Djerba,107.59,2025-11-11,True
Agadir,40.02,2025-11-11,True
