City,Price,Date,Beach
Paris,82.41,2025-11-06,False
Amsterdam,80.97,2025-11-05,False
Rome,77.52,2025-11-07,True
Madrid,38.51,2025-11-05,False
Lisbon,55.26,2025-11-05,True
Barcelona,55.25,2025-11-05,True
Berlin,69.92,2025-11-04,False
Milan,61.93,2025-11-05,False
Vienna,81.9,2025-11-06,False
Brussels,64.91,2025-11-07,False
Prague,52.34,2025-11-06,False
Budapest,64.36,2025-11-05,False
Zurich,81.33,2025-11-07,False
Cairo,151.04,2025-11-07,False
Casablanca,113.48,2025-11-05,True
Marrakech,67.35,2025-11-07,False
Tunis,140.66,2025-11-03,True
Algiers,78.63,2025-11-05,True
Tangier,55.13,2025-11-06,True
Beirut,82.77,2025-11-03,True
Amman,68.68,2025-11-05,True
Istanbul,117.12,2025-11-06,True
Doha,129.07,2025-11-06,True
Manama,155.76,2025-11-06,True
Nice,66.88,2025-11-07,True
Santorini,126.42,2025-11-04,True
Catania,83.68,2025-11-04,True
Malaga,34.39,2025-11-07,True
Naples,45.46,2025-11-06,True
Toulon,297.66,2025-11-04,True
Sharm El Sheikh,114.21,2025-11-05,True
Hurghada,118.83,2025-11-05,True
Essaouira,84.86,2025-11-06,True
Agadir,40.06,2025-11-04,True
